Invoice_ID,Date,Company_Name,Company_Address,City,State,Product,Quantity,Unit_Price_INR,Sales_Value_INR
FLP100033,2021-01-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gandhinagar,Maharashtra,Grocery Pack,4,8506,34024
FLP100034,2022-12-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Imphal,Odisha,Laptop,23,11937,274551
FLP100035,2023-06-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",North Dumdum,Chhattisgarh,Grocery Pack,29,1422,41238
FLP100036,2023-02-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Anantapur,Chhattisgarh,Shoes,3,71941,215823
FLP100037,2021-03-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Saharanpur,Mizoram,Books,11,34711,381821
FLP100038,2021-03-09,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Secunderabad,West Bengal,Refrigerator,25,73908,1847700
FLP100039,2023-04-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ghaziabad,Mizoram,Headphones,12,3418,41016
FLP100040,2025-12-16,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Darbhanga,Arunachal Pradesh,Headphones,14,8720,122080
FLP100041,2023-02-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Hazaribagh,Himachal Pradesh,Laptop,22,31097,684134
FLP100042,2025-08-17,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Karnal,Bihar,Grocery Pack,29,7791,225939
FLP100043,2023-03-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Secunderabad,Andhra Pradesh,Headphones,18,40429,727722
FLP100044,2024-09-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Pondicherry,Rajasthan,Shoes,25,38467,961675
FLP100045,2023-01-25,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ahmednagar,Andhra Pradesh,Refrigerator,5,70413,352065
FLP100046,2023-11-26,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Karnal,Karnataka,Tablet,4,22163,88652
FLP100047,2023-03-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhagalpur,Assam,Headphones,14,8433,118062
FLP100048,2023-07-21,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Eluru,Andhra Pradesh,Refrigerator,22,3001,66022
FLP100049,2023-07-11,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bettiah,Goa,TV,28,59432,1664096
FLP100050,2023-05-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Guntakal,Kerala,Headphones,26,4003,104078
FLP100051,2023-12-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Nadiad,Madhya Pradesh,Grocery Pack,11,68043,748473
FLP100052,2024-02-14,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Parbhani,Mizoram,Grocery Pack,5,45332,226660
FLP100053,2021-08-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Purnia,Assam,Smart Watch,18,48665,875970
FLP100054,2024-03-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Tiruchirappalli,Himachal Pradesh,TV,11,12470,137170
FLP100055,2023-11-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Karnal,Mizoram,Refrigerator,8,26943,215544
FLP100056,2022-06-26,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Pondicherry,Meghalaya,Grocery Pack,13,5939,77207
FLP100057,2021-06-14,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhopal,Haryana,Smart Watch,7,66508,465556
FLP100058,2025-04-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bardhaman,Meghalaya,Smart Watch,29,2549,73921
FLP100059,2022-07-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Aligarh,Uttarakhand,Laptop,19,30568,580792
FLP100060,2024-05-14,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Dehradun,Rajasthan,Refrigerator,11,11276,124036
FLP100061,2024-02-10,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhiwani,Arunachal Pradesh,Grocery Pack,18,17793,320274
FLP100062,2021-10-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Uluberia,Punjab,Books,26,63733,1657058
FLP100063,2025-02-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhilwara,Madhya Pradesh,TV,13,3999,51987
FLP100064,2025-01-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Medininagar,West Bengal,Books,27,76052,2053404
FLP100065,2022-11-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Phusro,Goa,Grocery Pack,13,29679,385827
FLP100066,2021-09-16,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Singrauli,Gujarat,Tablet,20,1081,21620
FLP100067,2024-06-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Deoghar,Manipur,Tablet,16,45309,724944
FLP100068,2021-09-08,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Firozabad,Tamil Nadu,Refrigerator,23,7172,164956
FLP100069,2025-10-31,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ghaziabad,Odisha,Shoes,15,47727,715905
FLP100070,2022-10-09,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Imphal,Maharashtra,Books,12,28689,344268
FLP100071,2022-12-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Tadepalligudem,Himachal Pradesh,Headphones,26,25527,663702
FLP100072,2023-02-23,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kumbakonam,Uttarakhand,Shoes,26,8484,220584
FLP100073,2023-02-08,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Medininagar,Punjab,Headphones,17,35096,596632
FLP100074,2025-10-20,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Amroha,Uttar Pradesh,Refrigerator,18,49636,893448
FLP100075,2021-05-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Malda,West Bengal,Laptop,30,39084,1172520
FLP100076,2022-06-28,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Asansol,Meghalaya,Refrigerator,17,79657,1354169
FLP100077,2021-04-23,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Haridwar,Bihar,Tablet,13,7063,91819
FLP100078,2023-03-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Saharanpur,Uttar Pradesh,Books,10,14385,143850
FLP100079,2024-03-20,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mahbubnagar,Maharashtra,Smart Watch,25,42858,1071450
FLP100080,2024-08-17,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Raichur,Arunachal Pradesh,Books,15,35153,527295
FLP100081,2024-02-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Hindupur,Manipur,Smart Watch,19,45395,862505
FLP100082,2024-11-15,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bidhannagar,Mizoram,Tablet,15,65966,989490
FLP100083,2022-07-18,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jorhat,Telangana,Headphones,11,6692,73612
FLP100084,2021-09-10,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Hazaribagh,Haryana,Books,1,56414,56414
FLP100085,2025-02-11,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Tezpur,Sikkim,Grocery Pack,5,62863,314315
FLP100086,2021-03-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bharatpur,Jharkhand,Headphones,16,71329,1141264
FLP100087,2022-10-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jodhpur,Gujarat,Smart Watch,28,48767,1365476
FLP100088,2024-05-09,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Muzaffarnagar,Uttar Pradesh,Books,28,4514,126392
FLP100089,2023-10-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Raipur,Karnataka,TV,29,79125,2294625
FLP100090,2024-12-16,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Loni,Telangana,Refrigerator,19,2126,40394
FLP100091,2025-02-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kishanganj,Kerala,Laptop,13,30128,391664
FLP100092,2025-11-21,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Dewas,Mizoram,Headphones,9,37667,339003
FLP100093,2023-05-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Dehri,Sikkim,Smartphone,12,56002,672024
FLP100094,2024-05-28,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gudivada,Gujarat,Headphones,1,65417,65417
FLP100095,2022-02-10,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Chinsurah,Odisha,Grocery Pack,2,35617,71234
FLP100096,2021-12-06,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mathura,Sikkim,Smart Watch,25,69929,1748225
FLP100097,2022-09-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ranchi,Manipur,Smart Watch,16,61561,984976
FLP100098,2022-08-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ramagundam,Punjab,Laptop,17,12379,210443
FLP100099,2023-06-26,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Barasat,Goa,Grocery Pack,20,71729,1434580
FLP100100,2022-07-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gandhinagar,Rajasthan,Grocery Pack,26,25898,673348
FLP100101,2021-05-19,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jamshedpur,Jharkhand,Shoes,21,51730,1086330
FLP100102,2025-06-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Raurkela Industrial Township,Mizoram,Laptop,26,59093,1536418
FLP100103,2021-05-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Suryapet,Sikkim,Shoes,19,57009,1083171
FLP100104,2023-11-26,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mysore,Tamil Nadu,Books,12,20465,245580
FLP100105,2021-10-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Nellore,Madhya Pradesh,Smart Watch,7,28038,196266
FLP100106,2021-03-18,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Coimbatore,Rajasthan,Laptop,8,27585,220680
FLP100107,2023-04-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Begusarai,Uttar Pradesh,Smartphone,30,3689,110670
FLP100108,2023-04-25,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mahbubnagar,Assam,Grocery Pack,21,42494,892374
FLP100109,2021-03-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Hazaribagh,Nagaland,Shoes,2,32613,65226
FLP100110,2024-12-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Hospet,Haryana,TV,10,24669,246690
FLP100111,2021-08-19,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Lucknow,Uttar Pradesh,Smart Watch,10,42874,428740
FLP100112,2023-11-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Udaipur,Mizoram,Headphones,1,47686,47686
FLP100113,2023-08-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Srikakulam,Meghalaya,Smart Watch,8,54601,436808
FLP100114,2023-11-12,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mango,Uttarakhand,Shoes,22,57264,1259808
FLP100115,2024-02-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhubaneswar,Gujarat,Laptop,7,51429,360003
FLP100116,2023-10-15,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bettiah,Odisha,TV,28,5882,164696
FLP100117,2021-10-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Aurangabad,Odisha,Headphones,16,14303,228848
FLP100118,2021-09-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Sangli-Miraj & Kupwad,Andhra Pradesh,Grocery Pack,15,46553,698295
FLP100119,2024-06-12,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Siliguri,Tamil Nadu,Grocery Pack,1,58631,58631
FLP100120,2022-12-24,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Vijayawada,Uttar Pradesh,Smart Watch,10,47851,478510
FLP100121,2023-03-11,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Burhanpur,Maharashtra,Laptop,30,6491,194730
FLP100122,2023-11-08,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jamnagar,Arunachal Pradesh,Tablet,27,12733,343791
FLP100123,2024-09-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mango,Andhra Pradesh,Smart Watch,11,11148,122628
FLP100124,2023-02-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Rajahmundry,Uttarakhand,Headphones,6,55191,331146
FLP100125,2025-11-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Tadipatri,Meghalaya,Smartphone,16,18725,299600
FLP100126,2021-11-29,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Thane,Rajasthan,Refrigerator,26,11612,301912
FLP100127,2021-03-08,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Nagaon,Odisha,Smart Watch,4,19490,77960
FLP100128,2023-07-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kavali,Himachal Pradesh,Shoes,14,26622,372708
FLP100129,2021-05-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Tumkur,Tripura,Laptop,2,20183,40366
FLP100130,2023-08-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jalna,Uttar Pradesh,Headphones,23,12134,279082
FLP100131,2024-09-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bidar,Jharkhand,Books,2,47346,94692
FLP100132,2025-07-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Khammam,Mizoram,Smart Watch,27,27346,738342
FLP100133,2022-04-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Navi Mumbai,Goa,Refrigerator,26,56831,1477606
FLP100134,2024-10-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Durg,Goa,Smartphone,5,12018,60090
FLP100135,2022-08-21,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bongaigaon,Odisha,Refrigerator,11,52822,581042
FLP100136,2025-05-31,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Suryapet,Gujarat,Smartphone,8,8279,66232
FLP100137,2024-02-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Muzaffarpur,Uttar Pradesh,Smart Watch,3,14760,44280
FLP100138,2022-08-13,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Srinagar,Mizoram,Grocery Pack,8,16698,133584
